 iteration 1
Iter = 	42	 relative error = 	1.9875	 diff_step = 	337.1069	 diff = 	1666813.0848	 diff1 = 	1657527.4094	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7785.6755
Iter = 	43	 relative error = 	1.9876	 diff_step = 	322.4721	 diff = 	1666978.5253	 diff1 = 	1657812.1765	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7666.3488
Iter = 	44	 relative error = 	1.9876	 diff_step = 	308.1809	 diff = 	1667138.7771	 diff1 = 	1658085.59	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7553.1871
 = 	45	 relative error = 	1.9877	 diff_step = 	304.5671	 diff = 	1667363.4149	 diff1 = 	1658335.2451	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7528.1698
Iter = 	46	 relative error = 	1.9877	 diff_step = 	291.9841	 diff = 	1667494.4894	 diff1 = 	1658585.2589	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7409.2305
Iter = 	47	 relative error = 	1.9878	 diff_step = 	279.7952	 diff = 	1667620.0763	 diff1 = 	1658822.4214	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7297.6549
Iter = 	48	 relative error = 	1.9878	 diff_step = 	267.756	 diff = 	1667740.8963	 diff1 = 	1659047.6019	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7193.2944
Iter = 	49	 relative error = 	1.9879	 diff_step = 	256.0746	 diff = 	1667857.359	 diff1 = 	1659261.7831	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7095.5759
Iter = 	50	 relative error = 	1.9879	 diff_step = 	245.3016	 diff = 	1667969.914	 diff1 = 	1659465.8936	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7004.0204
diff5 = 	7242.792
